"";"idade";"a2010";"a2011"
"1";0;87;74
"2";1;5;8
"3";2;2;6
"4";3;0;3
"5";4;3;2
"6";5;5;2
"7";6;0;0
"8";7;0;1
"9";8;2;3
"10";9;1;2
"11";10;1;5
"12";11;3;1
"13";12;4;2
"14";13;2;3
"15";14;3;1
"16";15;4;2
"17";16;9;2
"18";17;2;4
"19";18;4;8
"20";19;5;3
"21";20;13;8
"22";21;9;9
"23";22;7;8
"24";23;11;11
"25";24;11;4
"26";25;12;10
"27";26;7;4
"28";27;13;13
"29";28;14;11
"30";29;14;13
"31";30;11;7
"32";31;14;8
"33";32;15;16
"34";33;12;15
"35";34;21;16
"36";35;14;11
"37";36;14;17
"38";37;16;22
"39";38;20;18
"40";39;20;15
"41";40;27;13
"42";41;22;15
"43";42;17;23
"44";43;26;16
"45";44;23;22
"46";45;21;27
"47";46;30;42
"48";47;29;34
"49";48;33;23
"50";49;39;40
"51";50;31;41
"52";51;57;44
"53";52;50;49
"54";53;47;64
"55";54;71;44
"56";55;45;55
"57";56;54;66
"58";57;62;71
"59";58;69;84
"60";59;79;63
"61";60;64;71
"62";61;66;65
"63";62;62;63
"64";63;73;68
"65";64;79;62
"66";65;81;91
"67";66;75;83
"68";67;81;82
"69";68;102;83
"70";69;87;78
"71";70;90;95
"72";71;107;99
"73";72;102;97
"74";73;104;91
"75";74;129;122
"76";75;147;117
"77";76;114;156
"78";77;141;144
"79";78;134;138
"80";79;152;153
"81";80;149;147
"82";81;182;165
"83";82;154;168
"84";83;176;178
"85";84;154;171
"86";85;152;150
"87";86;133;177
"88";87;150;167
"89";88;140;166
"90";89;142;130
"91";90;129;114
"92";91;103;133
"93";92;97;107
"94";93;75;96
"95";94;70;71
"96";95;67;83
"97";96;57;56
"98";97;52;31
"99";98;38;35
"100";99;19;24
"101";100;13;12
"102";101;7;10
"103";102;7;12
"104";103;9;7
"105";104;5;4
"106";105;5;1
"107";106;1;1
"108";107;0;1
"109";108;0;0
"110";109;0;0
"111";110;0;0
