"";"Idade";"p2010";"p2011"
"1";"Menos de 1 ano";7971;8290
"2";"1 ano";7800;7983
"3";"2 anos";7553;7951
"4";"3 anos";7657;7878
"5";"4 anos";7784;8020
"6";"5 anos";7991;8397
"7";"6 anos";7928;8652
"8";"7 anos";8092;8617
"9";"8 anos";8279;8656
"10";"9 anos";9197;9045
"11";"10 anos";10293;9704
"12";"11 anos";9762;9752
"13";"12 anos";9653;10036
"14";"13 anos";9785;10268
"15";"14 anos";10251;10412
"16";"15 anos";10412;10396
"17";"16 anos";9944;10369
"18";"17 anos";9930;10465
"19";"18 anos";10397;10678
"20";"19 anos";10965;11015
"21";"20 anos";11472;11365
"22";"21 anos";11649;11603
"23";"22 anos";12032;11783
"24";"23 anos";11905;12006
"25";"24 anos";12751;12325
"26";"25 anos";12662;12770
"27";"26 anos";12967;13207
"28";"27 anos";13902;13563
"29";"28 anos";14171;13675
"30";"29 anos";13268;13459
"31";"30 anos";13773;13189
"32";"31 anos";12520;13007
"33";"32 anos";12381;12689
"34";"33 anos";11437;12264
"35";"34 anos";11020;11760
"36";"35 anos";11013;11282
"37";"36 anos";10391;10877
"38";"37 anos";9880;10487
"39";"38 anos";9803;10224
"40";"39 anos";9881;10132
"41";"40 anos";10215;10032
"42";"41 anos";9800;9894
"43";"42 anos";9800;9903
"44";"43 anos";9460;10065
"45";"44 anos";10402;10370
"46";"45 anos";10954;10646
"47";"46 anos";11032;10815
"48";"47 anos";11069;11007
"49";"48 anos";10821;11125
"50";"49 anos";10933;11127
"51";"50 anos";11166;11064
"52";"51 anos";10696;10972
"53";"52 anos";10436;10807
"54";"53 anos";10216;10585
"55";"54 anos";10183;10327
"56";"55 anos";10065;10081
"57";"56 anos";9636;9844
"58";"57 anos";9175;9567
"59";"58 anos";8721;9256
"60";"59 anos";8351;8914
"61";"60 anos";8633;8568
"62";"61 anos";7692;8240
"63";"62 anos";7331;7911
"64";"63 anos";7146;7552
"65";"64 anos";6666;7154
"66";"65 anos";6614;6725
"67";"66 anos";5774;6317
"68";"67 anos";5643;5934
"69";"68 anos";5173;5607
"70";"69 anos";5047;5363
"71";"70 anos";4997;5139
"72";"71 anos";4674;4914
"73";"72 anos";4524;4735
"74";"73 anos";4366;4569
"75";"74 anos";4359;4402
"76";"75 anos";4282;4185
"77";"76 anos";3794;3969
"78";"77 anos";3635;3807
"79";"78 anos";3486;3657
"80";"79 anos";3430;3515
"81";"80 anos";3407;3605,79350781092
"82";"81 anos";2922;3092,49446135119
"83";"82 anos";2705;2862,83282613106
"84";"83 anos";2532;2679,7385270846
"85";"84 anos";2115;2238,40718198418
"86";"85 anos";1850;1957,94481639278
"87";"86 anos";1578;1670,07401095557
"88";"87 anos";1501;1588,58117265165
"89";"88 anos";1229;1300,71036721445
"90";"89 anos";1041;1101,74083992696
"91";"90 anos";951;1006,48947048083
"92";"91 anos";672;711,210225197809
"93";"92 anos";518;548,224548589978
"94";"93 anos";408;431,806208155813
"95";"94 anos";358;378,888780685737
"96";"95 anos";255;269,878880097383
"97";"96 anos";188;198,969527287482
"98";"97 anos";127;134,410265773991
"99";"98 anos";92;97,3680665449381
"100";"99 anos";70;74,0843984581051
"101";"100 anos";39;41,2755934266585
"102";"101 anos";30;31,750456482045
"103";"102 anos";23;24,3420166362345
"104";"103 anos";15;15,8752282410225
"105";"104 anos";7;7,40843984581051
"106";"105 anos";6;6,35009129640901
"107";"106 anos";3;3,1750456482045
"108";"107 anos";2;2,116697098803
"109";"108 anos";1;1,0583485494015
"110";"109 anos";0;0
"111";"110 anos";0;0
