"";"Idade";"p2010";"p2011"
"1";"Menos de 1 ano";8274;8572
"2";"1 ano";8004;8304
"3";"2 anos";7552;8304
"4";"3 anos";7903;8243
"5";"4 anos";8128;8388
"6";"5 anos";8273;8790
"7";"6 anos";8419;9078
"8";"7 anos";8486;9045
"9";"8 anos";8602;9069
"10";"9 anos";9516;9443
"11";"10 anos";10751;10099
"12";"11 anos";10117;10089
"13";"12 anos";9851;10341
"14";"13 anos";10069;10532
"15";"14 anos";10328;10624
"16";"15 anos";10782;10553
"17";"16 anos";9930;10472
"18";"17 anos";9948;10503
"19";"18 anos";10314;10645
"20";"19 anos";10790;10912
"21";"20 anos";11098;11193
"22";"21 anos";11532;11371
"23";"22 anos";11724;11495
"24";"23 anos";11469;11657
"25";"24 anos";12313;11898
"26";"25 anos";12177;12260
"27";"26 anos";12159;12616
"28";"27 anos";13037;12886
"29";"28 anos";13254;12919
"30";"29 anos";12722;12635
"31";"30 anos";12759;12275
"32";"31 anos";11400;12003
"33";"32 anos";11398;11628
"34";"33 anos";10535;11188
"35";"34 anos";10010;10718
"36";"35 anos";10098;10304
"37";"36 anos";9261;9945
"38";"37 anos";9163;9575
"39";"38 anos";9074;9279
"40";"39 anos";8882;9087
"41";"40 anos";9091;8883
"42";"41 anos";8347;8665
"43";"42 anos";8420;8564
"44";"43 anos";8047;8592
"45";"44 anos";8758;8747
"46";"45 anos";9261;8873
"47";"46 anos";8801;8914
"48";"47 anos";8997;8993
"49";"48 anos";8744;9028
"50";"49 anos";8849;8983
"51";"50 anos";9300;8877
"52";"51 anos";8338;8739
"53";"52 anos";8285;8552
"54";"53 anos";7946;8319
"55";"54 anos";7784;8055
"56";"55 anos";7838;7783
"57";"56 anos";7399;7518
"58";"57 anos";6803;7236
"59";"58 anos";6397;6937
"60";"59 anos";6295;6623
"61";"60 anos";6352;6290
"62";"61 anos";5484;5965
"63";"62 anos";5305;5663
"64";"63 anos";5062;5355
"65";"64 anos";4629;5037
"66";"65 anos";4601;4688
"67";"66 anos";3981;4344
"68";"67 anos";3682;4027
"69";"68 anos";3407;3749
"70";"69 anos";3402;3527
"71";"70 anos";3351;3310
"72";"71 anos";2949;3094
"73";"72 anos";2787;2922
"74";"73 anos";2382;2759
"75";"74 anos";2563;2595
"76";"75 anos";2392;2394
"77";"76 anos";2080;2198
"78";"77 anos";1916;2047
"79";"78 anos";1873;1916
"80";"79 anos";1737;1809
"81";"80 anos";1665;1773,84626865672
"82";"81 anos";1366;1455,29970149254
"83";"82 anos";1204;1282,70925373134
"84";"83 anos";1098;1169,77970149254
"85";"84 anos";869;925,809253731343
"86";"85 anos";763;812,879701492537
"87";"86 anos";639;680,773432835821
"88";"87 anos";532;566,778507462687
"89";"88 anos";476;507,117611940299
"90";"89 anos";371;395,253432835821
"91";"90 anos";319;339,854029850746
"92";"91 anos";206;219,466865671642
"93";"92 anos";151;160,871343283582
"94";"93 anos";105;111,864179104478
"95";"94 anos";80;85,2298507462687
"96";"95 anos";68;72,4453731343284
"97";"96 anos";47;50,0725373134328
"98";"97 anos";40;42,6149253731343
"99";"98 anos";14;14,915223880597
"100";"99 anos";13;13,8498507462687
"101";"100 anos";6;6,39223880597015
"102";"101 anos";5;5,32686567164179
"103";"102 anos";4;4,26149253731343
"104";"103 anos";3;3,19611940298507
"105";"104 anos";2;2,13074626865672
"106";"105 anos";1;1,06537313432836
"107";"106 anos";1;1,06537313432836
"108";"107 anos";1;1,06537313432836
"109";"108 anos";1;1,06537313432836
"110";"109 anos";0;0
"111";"110 anos";0;0
