 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Idade simples e Ano
Município: 431490 PORTO ALEGRE
Sexo: Masculino
Período:2010-2021
"Idade simples";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Menos que 1 ano de idade";8502;8572;8707;8746;8805;8955;8936;8788;8837;8830;8823;8755
"1  ano";8438;8304;8409;8575;8643;8729;8955;8911;8739;8759;8724;8670
"2  anos";8327;8304;8196;8324;8511;8600;8716;8926;8864;8673;8674;8632
"3  anos";8433;8243;8237;8146;8290;8493;8582;8692;8894;8823;8625;8638
"4  anos";8838;8388;8210;8216;8136;8290;8480;8573;8686;8890;8820;8641
"5  anos";9131;8790;8357;8192;8211;8145;8269;8454;8544;8652;8850;8800
"6  anos";9057;9078;8757;8341;8196;8233;8110;8224;8397;8475;8572;8796
"7  anos";9047;9045;9080;8772;8369;8237;8197;8076;8188;8361;8439;8572
"8  anos";9391;9069;9076;9121;8820;8425;8211;8183;8072;8194;8377;8486
"9  anos";10051;9443;9124;9136;9186;8887;8419;8226;8219;8128;8269;8468
"10 anos";10054;10099;9493;9175;9190;9246;8894;8448;8278;8295;8226;8354
"11 anos";10286;10089;10143;9538;9227;9252;9270;8934;8504;8352;8391;8270
"12 anos";10457;10341;10151;10213;9615;9310;9303;9335;9012;8593;8458;8423
"13 anos";10527;10532;10427;10243;10318;9723;9383;9384;9427;9111;8699;8483
"14 anos";10533;10624;10641;10544;10371;10454;9814;9473;9479;9525;9210;8724
"15 anos";10429;10553;10685;10743;10684;10541;10583;9935;9593;9601;9652;9280
"16 anos";10306;10472;10634;10807;10901;10870;10651;10697;10050;9711;9728;9743
"17 anos";10338;10503;10663;10823;10986;11065;10932;10717;10775;10130;9797;9784
"18 anos";10538;10645;10759;10873;10979;11085;11081;10956;10752;10818;10180;9816
"19 anos";10905;10912;10926;10949;10965;10974;11059;11063;10950;10756;10832;10159
"20 anos";11293;11193;11082;10975;10871;10762;10881;11003;11047;10972;10815;10853
"21 anos";11535;11371;11180;10974;10769;10574;10736;10890;11049;11130;11090;10861
"22 anos";11774;11495;11280;11034;10771;10519;10682;10835;10983;11138;11212;11074
"23 anos";12054;11657;11367;11136;10876;10608;10716;10828;10934;11035;11142;11135
"24 anos";12324;11898;11529;11267;11065;10838;10850;10866;10891;10908;10918;11003
"25 anos";12652;12260;11848;11494;11251;11070;10978;10874;10777;10681;10579;10695
"26 anos";13033;12616;12210;11791;11432;11178;11022;10843;10654;10464;10281;10441
"27 anos";13158;12886;12470;12077;11671;11318;11050;10850;10625;10382;10145;10307
"28 anos";12948;12919;12665;12280;11917;11534;11151;10880;10671;10431;10181;10291
"29 anos";12483;12635;12638;12430;12094;11775;11366;11019;10776;10593;10386;10404
"30 anos";12107;12275;12463;12510;12349;12055;11682;11295;10966;10740;10577;10498
"31 anos";11804;12003;12201;12417;12497;12368;11969;11593;11199;10861;10629;10490
"32 anos";11427;11628;11864;12092;12343;12458;12201;11816;11447;11062;10738;10492
"33 anos";11016;11188;11430;11699;11965;12254;12229;11999;11638;11296;10942;10587
"34 anos";10554;10718;10935;11214;11523;11829;11979;11994;11805;11490;11196;10814
"35 anos";10071;10304;10526;10795;11129;11497;11663;11852;11908;11763;11491;11143
"36 anos";9646;9945;10233;10508;10833;11224;11420;11616;11834;11920;11806;11434
"37 anos";9317;9575;9901;10220;10526;10881;11079;11310;11538;11790;11911;11675
"38 anos";9113;9279;9540;9871;10195;10506;10675;10912;11180;11445;11733;11722
"39 anos";9007;9087;9230;9471;9781;10082;10244;10458;10736;11041;11347;11504
"40 anos";8806;8883;8960;9099;9333;9634;9864;10083;10351;10684;11049;11221
"41 anos";8581;8665;8754;8843;8993;9237;9529;9814;10087;10409;10798;10998
"42 anos";8508;8564;8635;8711;8787;8925;9178;9501;9815;10119;10472;10673
"43 anos";8581;8592;8613;8649;8687;8727;8892;9150;9478;9798;10107;10281
"44 anos";8794;8747;8697;8659;8636;8616;8700;8844;9082;9389;9689;9855
